model,mean_iou_known,iou_cs_6,iou_cs_11,iou_cs_13,iou_cs_14,iou_cs_15,iou_cs_16,iou_cs_17,iou_cs_18
cityscapes,0.895855,0.831630,0.820497,0.977029,0.864880,0.973639,0.959049,0.943645,0.796474
coco,0.542546,0.657959,0.706451,0.828440,0.142859,0.769341,0.322728,0.225753,0.686840
